service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3401,20190623,20190831,0,0,0,0,0,0,0
1301_merged_1305246,20190428,20190622,0,0,0,0,0,0,0
4103_merged_1305253,20190428,20190622,0,0,0,0,0,0,0
1403_merged_1305260,20190428,20190622,0,0,0,0,0,0,0
1302_merged_1305271,20190623,20190831,0,0,0,0,0,0,0
1403_merged_1305284,20190623,20190831,0,0,0,0,0,0,0
701,20190623,20190831,0,0,0,0,0,0,0
703_merged_1305251,20190428,20190622,0,0,0,0,0,0,0
601_merged_1305269,20190623,20190831,0,0,0,0,0,0,0
5201,20190623,20190831,0,0,0,0,0,0,0
703_merged_1305275,20190623,20190831,0,0,0,0,0,0,0
601_merged_1305245,20190428,20190622,0,0,0,0,0,0,0
4503_merged_1305264,20190428,20190622,0,0,0,0,0,0,0
4503_merged_1305288,20190623,20190831,0,0,0,0,0,0,0
1201_merged_1305249,20190428,20190622,0,0,0,0,0,0,0
1402_merged_1305285,20190623,20190831,0,0,0,0,0,0,0
2203,20190623,20190831,0,0,0,0,0,0,0
1501_merged_1305290,20190623,20190831,0,0,0,0,0,0,0
1303_merged_1305272,20190623,20190831,0,0,0,0,0,0,0
4502_merged_1305289,20190623,20190831,0,0,0,0,0,0,0
2303,20190623,20190831,0,0,0,0,0,0,0
2202,20190623,20190831,0,0,0,0,0,0,0
1502_merged_1305255,20190428,20190622,0,0,0,0,0,0,0
1503_merged_1305281,20190623,20190831,0,0,0,0,0,0,0
4502_merged_1305265,20190428,20190622,0,0,0,0,0,0,0
3_merged_1305282,20190623,20190831,0,0,0,0,0,0,1
2_merged_1305259,20190428,20190622,0,0,0,0,0,1,0
4103_merged_1305277,20190623,20190831,0,0,0,0,0,0,0
4101_merged_1305276,20190623,20190831,0,0,0,0,0,0,0
1601_merged_1305268,20190428,20190622,0,0,0,0,0,0,0
1402_merged_1305261,20190428,20190622,0,0,0,0,0,0,0
2_merged_1305283,20190623,20190831,0,0,0,0,0,1,0
1401_merged_1305262,20190428,20190622,0,0,0,0,0,0,0
2201,20190623,20190831,0,0,0,0,0,0,0
1202_merged_1305267,20190428,20190622,0,0,0,0,0,0,0
1501_merged_1305266,20190428,20190622,0,0,0,0,0,0,0
1301_merged_1305270,20190623,20190831,0,0,0,0,0,0,0
1_merged_1305280,20190623,20190831,1,1,1,1,1,0,0
5203,20190623,20190831,0,0,0,0,0,0,0
3402,20190623,20190831,0,0,0,0,0,0,0
4101_merged_1305252,20190428,20190622,0,0,0,0,0,0,0
2102,20190623,20190831,0,0,0,0,0,0,0
301_merged_1305287,20190623,20190831,0,0,0,0,0,0,0
3_merged_1305258,20190428,20190622,0,0,0,0,0,0,1
5101,20190623,20190831,0,0,0,0,0,0,0
4602,20190428,20190622,0,0,0,0,0,0,0
4603,20190428,20190622,0,0,0,0,0,0,0
4601,20190428,20190622,0,0,0,0,0,0,0
4102_merged_1305278,20190623,20190831,0,0,0,0,0,0,0
1303_merged_1305248,20190428,20190622,0,0,0,0,0,0,0
1202_merged_1305291,20190623,20190831,0,0,0,0,0,0,0
5303,20190623,20190831,0,0,0,0,0,0,0
1401_merged_1305286,20190623,20190831,0,0,0,0,0,0,0
3403,20190623,20190831,0,0,0,0,0,0,0
1201_merged_1305273,20190623,20190831,0,0,0,0,0,0,0
1502_merged_1305279,20190623,20190831,0,0,0,0,0,0,0
1_merged_1305256,20190428,20190622,1,1,1,1,1,0,0
301_merged_1305263,20190428,20190622,0,0,0,0,0,0,0
5202,20190623,20190831,0,0,0,0,0,0,0
1203_merged_1305250,20190428,20190622,0,0,0,0,0,0,0
4102_merged_1305254,20190428,20190622,0,0,0,0,0,0,0
1203_merged_1305274,20190623,20190831,0,0,0,0,0,0,0
2103,20190623,20190831,0,0,0,0,0,0,0
1601_merged_1305292,20190623,20190831,0,0,0,0,0,0,0
2101,20190623,20190831,0,0,0,0,0,0,0
1503_merged_1305257,20190428,20190622,0,0,0,0,0,0,0
1302_merged_1305247,20190428,20190622,0,0,0,0,0,0,0
