service_id,date,exception_type
3401,20190806,1
3401,20190624,1
3401,20190807,1
3401,20190826,1
3401,20190801,1
3401,20190802,1
3401,20190729,1
3401,20190626,1
3401,20190820,1
3401,20190821,1
3401,20190808,1
3401,20190724,1
3401,20190726,1
3401,20190730,1
3401,20190723,1
3401,20190722,1
3401,20190628,1
3401,20190705,1
3401,20190704,1
3401,20190703,1
3401,20190702,1
3401,20190809,1
3401,20190625,1
3401,20190709,1
3401,20190708,1
3401,20190828,1
3401,20190829,1
3401,20190627,1
3401,20190725,1
3401,20190830,1
3401,20190813,1
3401,20190812,1
3401,20190816,1
3401,20190815,1
3401,20190814,1
3401,20190819,1
3401,20190731,1
3401,20190715,1
3401,20190716,1
3401,20190717,1
3401,20190710,1
3401,20190711,1
3401,20190712,1
3401,20190827,1
3401,20190718,1
3401,20190719,1
3401,20190822,1
3401,20190823,1
703_merged_1305251,20190512,1
703_merged_1305251,20190519,1
703_merged_1305251,20190616,1
703_merged_1305251,20190526,1
703_merged_1305251,20190609,1
703_merged_1305251,20190602,1
5201,20190830,1
703_merged_1305275,20190707,1
703_merged_1305275,20190714,1
703_merged_1305275,20190701,1
703_merged_1305275,20190630,1
703_merged_1305275,20190811,1
703_merged_1305275,20190825,1
703_merged_1305275,20190804,1
703_merged_1305275,20190728,1
703_merged_1305275,20190818,1
703_merged_1305275,20190721,1
703_merged_1305275,20190805,1
601_merged_1305245,20190529,1
601_merged_1305245,20190528,1
601_merged_1305245,20190513,1
601_merged_1305245,20190516,1
601_merged_1305245,20190430,1
601_merged_1305245,20190514,1
601_merged_1305245,20190515,1
601_merged_1305245,20190530,1
601_merged_1305245,20190531,1
601_merged_1305245,20190523,1
601_merged_1305245,20190524,1
601_merged_1305245,20190606,1
601_merged_1305245,20190621,1
601_merged_1305245,20190604,1
601_merged_1305245,20190605,1
601_merged_1305245,20190603,1
601_merged_1305245,20190522,1
601_merged_1305245,20190507,1
601_merged_1305245,20190506,1
601_merged_1305245,20190501,1
601_merged_1305245,20190503,1
601_merged_1305245,20190502,1
601_merged_1305245,20190527,1
601_merged_1305245,20190429,1
601_merged_1305245,20190509,1
601_merged_1305245,20190508,1
601_merged_1305245,20190521,1
601_merged_1305245,20190611,1
601_merged_1305245,20190610,1
601_merged_1305245,20190613,1
601_merged_1305245,20190612,1
601_merged_1305245,20190614,1
601_merged_1305245,20190617,1
601_merged_1305245,20190619,1
601_merged_1305245,20190618,1
601_merged_1305245,20190620,1
601_merged_1305245,20190607,1
601_merged_1305245,20190517,1
4503_merged_1305264,20190609,1
4503_merged_1305288,20190818,1
1402_merged_1305285,20190810,1
1402_merged_1305285,20190713,1
2203,20190825,1
1501_merged_1305290,20190628,1
4502_merged_1305289,20190817,1
2303,20190701,1
2202,20190824,1
4502_merged_1305265,20190608,1
3_merged_1305282,20190805,1
3_merged_1305282,20190701,1
2201,20190823,1
1501_merged_1305266,20190606,1
1501_merged_1305266,20190613,1
1_merged_1305280,20190805,2
1_merged_1305280,20190701,2
3402,20190629,1
3402,20190713,1
3402,20190831,1
3402,20190706,1
3402,20190824,1
3402,20190810,1
3402,20190817,1
3402,20190803,1
3402,20190727,1
3402,20190720,1
2102,20190629,1
2102,20190803,1
3_merged_1305258,20190520,1
5101,20190806,1
5101,20190624,1
5101,20190807,1
5101,20190826,1
5101,20190801,1
5101,20190802,1
5101,20190729,1
5101,20190626,1
5101,20190820,1
5101,20190821,1
5101,20190808,1
5101,20190724,1
5101,20190726,1
5101,20190730,1
5101,20190723,1
5101,20190722,1
5101,20190628,1
5101,20190705,1
5101,20190704,1
5101,20190703,1
5101,20190702,1
5101,20190809,1
5101,20190625,1
5101,20190709,1
5101,20190708,1
5101,20190828,1
5101,20190829,1
5101,20190627,1
5101,20190725,1
5101,20190830,1
5101,20190813,1
5101,20190812,1
5101,20190816,1
5101,20190815,1
5101,20190814,1
5101,20190819,1
5101,20190731,1
5101,20190715,1
5101,20190716,1
5101,20190717,1
5101,20190710,1
5101,20190711,1
5101,20190712,1
5101,20190827,1
5101,20190718,1
5101,20190719,1
5101,20190822,1
5101,20190823,1
4602,20190608,1
4603,20190609,1
4601,20190606,1
4601,20190607,1
1401_merged_1305286,20190726,1
3403,20190707,1
3403,20190714,1
3403,20190623,1
3403,20190701,1
3403,20190630,1
3403,20190811,1
3403,20190825,1
3403,20190804,1
3403,20190728,1
3403,20190818,1
3403,20190721,1
3403,20190805,1
1_merged_1305256,20190520,2
5202,20190831,1
2103,20190630,1
2103,20190804,1
2103,20190701,1
2101,20190802,1
