trip_headsign,shape_id,wheelchair_accessible,service_id,route_id,block_id,direction_id,trip_id,trip_short_name,wheelchair_boarding,bikes_allowed
MACNAB TRANSIT TERMINAL,23101,0,3_merged_1305258,3779,a_431775,1,1253253,,1,1
UPPER GAGE at RYMAL,23853,0,3_merged_1305282,3902,b_434576,0,1295747,,1,1
MACNAB TRANSIT TERMINAL,23846,0,3_merged_1305282,3900,b_434574,1,1294875,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431337,0,1246688,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431344,0,1246689,,1,1
MACNAB TRANSIT TERMINAL,23101,0,3_merged_1305258,3779,a_431777,1,1253252,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431341,0,1246680,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431342,0,1246681,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431339,0,1246682,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431337,0,1246683,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431344,0,1246684,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431341,0,1246685,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431342,0,1246686,,1,1
BELL MANOR LOOP,22988,0,3_merged_1305258,3761,a_431339,0,1246687,,1,1
HAMILTON GO CENTRE,22983,0,2_merged_1305259,3760,a_431260,1,1245492,,1,1
MACNAB TRANSIT TERMINAL,23846,0,1_merged_1305280,3900,b_435071,1,1303148,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431237,0,1245137,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431238,0,1245136,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431234,0,1245135,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_434057,0,1245134,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_434053,0,1245133,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_434058,0,1245132,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431245,0,1245131,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431248,0,1245130,,1,1
UPPER GAGE at RYMAL,23853,0,3_merged_1305282,3902,b_434575,0,1295749,,1,1
GLANCASTER LOOP,23870,0,1_merged_1305280,3907,b_435108,0,1303978,,1,1
34A UPPER HORNING LOOP,23869,0,1_merged_1305280,3907,b_435107,0,1303979,,1,1
DOWNTOWN,23807,0,2_merged_1305283,3890,b_434418,1,1292534,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431247,0,1245139,,1,1
EASTGATE SQUARE,22977,0,1_merged_1305256,3760,a_431241,0,1245138,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431334,1,1246532,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431326,1,1246533,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431331,1,1246530,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431324,1,1246531,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431323,1,1246536,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431335,1,1246537,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431327,1,1246534,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431328,1,1246535,,1,1
HIGHLAND at SALTFLEET SCHOOL,23913,0,3_merged_1305282,3911,b_434797,0,1299608,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431325,1,1246538,,1,1
HAMILTON GO CENTRE,22991,0,2_merged_1305259,3761,a_431329,1,1246539,,1,1
55A LEVI LOOP,23941,0,3_merged_1305282,3915,b_434867,0,1300903,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434573,1,1295341,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434576,1,1295340,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434576,1,1295343,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434575,1,1295342,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434574,1,1295345,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434577,1,1295344,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434577,1,1295347,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434579,1,1295346,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434577,1,1295349,,1,1
MACNAB TRANSIT TERMINAL,23849,0,3_merged_1305282,3901,b_434578,1,1295348,,1,1
BELL MANOR LOOP,23746,0,1_merged_1305280,3885,b_434160,0,1289035,,1,1
HAMILTON GO CENTRE,23749,0,2_merged_1305283,3885,b_434176,1,1289447,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434178,0,1289446,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434177,0,1289445,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434176,0,1289444,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434179,0,1289443,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434175,0,1289442,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434174,0,1289441,,1,1
BELL MANOR LOOP,23746,0,2_merged_1305283,3885,b_434178,0,1289440,,1,1
HAMILTON GO CENTRE,23749,0,2_merged_1305283,3885,b_434178,1,1289449,,1,1
HAMILTON GO CENTRE,23749,0,2_merged_1305283,3885,b_434177,1,1289448,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431759,0,1252973,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431761,0,1252972,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431759,0,1252971,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431760,0,1252970,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431762,0,1252977,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431759,0,1252976,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431763,0,1252975,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431762,0,1252974,,1,1
UNIVERSITY PLAZA,23817,0,1_merged_1305280,3893,b_434441,1,1293156,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431760,0,1252979,,1,1
LIME RIDGE MALL,23100,0,1_merged_1305256,3779,a_431763,0,1252978,,1,1
52 PIRIE at GOVERNORS,23777,0,3_merged_1305282,3888,b_434345,0,1291521,,1,1
HAMILTON GO CENTRE,23754,0,1_merged_1305280,3886,b_435042,1,1302599,,1,1
HAMILTON GO CENTRE,23754,0,1_merged_1305280,3886,b_435044,1,1302598,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431563,0,1249797,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431561,0,1249796,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431562,0,1249795,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431560,0,1249794,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431563,0,1249793,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431561,0,1249792,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431560,0,1249791,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431561,0,1249790,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431562,0,1249799,,1,1
STRATHCONA LOOP,23052,0,2_merged_1305259,3767,a_431560,0,1249798,,1,1
MACNAB TRANSIT TERMINAL,23849,0,2_merged_1305283,3901,b_434572,1,1295234,,1,1
UNIVERSITY PLAZA,23817,0,1_merged_1305280,3893,b_434089,1,1293158,,1,1
LAKELAND COMMUNITY CENTRE via CONFEDERATION PARK,23953,0,2_merged_1305283,3916,b_435126,0,1304338,,1,1
5E QUIGLEY at GREENHILL,23790,0,1_merged_1305280,3888,b_434290,1,1291064,,1,1
DOWNTOWN,23787,0,1_merged_1305280,3888,b_434308,1,1291065,,1,1
DOWNTOWN,23795,0,1_merged_1305280,3888,b_434282,1,1291066,,1,1
DOWNTOWN,23795,0,1_merged_1305280,3888,b_434292,1,1291067,,1,1
DOWNTOWN,23787,0,1601_merged_1305292,3888,b_434280,1,1291060,,1,1
DOWNTOWN,23787,0,1_merged_1305280,3888,b_434306,1,1291061,,1,1
DOWNTOWN,23787,0,1_merged_1305280,3888,b_434302,1,1291062,,1,1
5A GREENHILL at COCHRANE,23793,0,1_merged_1305280,3888,b_434304,1,1291063,,1,1
UPPER OTTAWA at RYMAL via ANCHOR ROAD,23845,0,2_merged_1305283,3900,b_434570,0,1294768,,1,1
UPPER OTTAWA at RYMAL,23844,0,2_merged_1305283,3900,b_434566,0,1294769,,1,1
DOWNTOWN,23795,0,1_merged_1305280,3888,b_434286,1,1291068,,1,1
DOWNTOWN,23789,0,1_merged_1305280,3888,b_434291,1,1291069,,1,1
ST. ELIZABETH VILLAGE via GARTH,23875,0,1_merged_1305280,3908,b_435096,0,1303764,,1,1
BURLINGTON TERMINAL,23824,0,3_merged_1305282,3894,b_434466,1,1293519,,1,1
MACNAB TRANSIT TERMINAL,23086,0,1_merged_1305256,3775,a_431667,1,1251226,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431550,0,1249421,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431552,0,1249420,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431551,0,1249423,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431554,0,1249422,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431555,0,1249425,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431559,0,1249424,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431553,0,1249427,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431552,0,1249426,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431554,0,1249429,,1,1
HILLCREST LOOP,23049,0,1_merged_1305256,3766,a_431550,0,1249428,,1,1
52 PIRIE at GOVERNORS,23777,0,3_merged_1305282,3888,b_434347,0,1291554,,1,1
MACNAB TRANSIT TERMINAL,23086,0,1_merged_1305256,3775,a_431662,1,1251227,,1,1
EASTGATE SQUARE,23961,0,1_merged_1305280,3917,b_434104,1,1301365,,1,1
JONES at HIGHWAY 8,23942,0,1_merged_1305280,3915,b_434097,0,1300669,,1,1
